name,description
Sigma Tau Gamma,"The Epsilon Upsilon Chapter of Sigma Tau Gamma Fraternity at Virginia Polytechnic Institute and State University is the 140th chartered chapter of the national fraternity. Founded in 1920 by seventeen veterans of World War I at the University of Central Missouri, Sigma Tau Gamma endeavors to bind men together in a fraternal brotherhood based on our six principles:"
Sikh Students Association,"We foster an atmosphere for people to learn about the world's 5th largest religion. We are a platform for Hokies to learn about Sikh traditions, heritages, and cultures. We bring awareness to social, political, and spiritual issues concerning Sikhism. Also, we provide opportunities for people to give back to the community and become a source of knowledge."
Silhouette Literary and Art Magazine,*If you would like to be involved in Silhouette Literary and Art Magazine please e-mail me at erdelaporte21@vt.edu. We rarely use Gobblerconnect to get in touch with potential members. 
Slackers,Our mission is to help promote and support the sport of slacklining on Virginia Tech's campus and within the community of Blacksburg. 
Slusher Hall,"As a predominantly first-year residence hall, the Slusher staff strives to provide opportunities for transition, development, and building community. Welcome to our home! We uphold the mission of Housing and Residence Life:"
SNAME/ASNE at Virginia Tech,"SNAME was organized in 1893, to advance the art, science, and practice of naval architecture, shipbuilding and marine engineering. For over a century members have included commercial and governmental practitioners, students, and educators of naval architecture, shipbuilding, and marine and ocean engineering."
Snow Club at Virginia Tech,"DO NOT REQUEST TO JOIN GOBBLER CONNECT. The Snow Club at VT is the best club on campus. We are passionate about snowboarding/skiing and the culture surrounding it. We do multiple trips to Snowshoe, WV during the spring semester and have an optional ""Big Trip"" during Winter Break. In addition to the trips, we hold other social events in the Blacksburg area throughout the entire school year. Lastly, we have a freestyle team if you are interested in taking your riding to the next level. Membership dues are $100 for the whole year to be paid during our weekly meetings, which will start in the Fall 2023 semester after GobblerFest. We are not accepting new members this moment, please fill out this form to join the waitlist."
Society for Ecological Restoration Student Association at Virginia Tech,"Association of Virginia Tech students interested in all aspects of Ecological Restoration. Membership in SER-VT includes at no cost membership in the professional organization Society for Ecological Restoration (SER) www.ser.org. Members create restoration plans, participate in panels, attend SER and other restoration-related panels and assist in local restoration efforts. "
Society for Human Resource Management,"SHRM at Virginia Tech is a professional business organization that helps its members become familiar with the human resources industry before they enter the field so they are better prepared. We meet with professionals in the area who provide pointers and genuine conversations about their personal ongoing experiences. We also host HR panels, recruitment events, resume reviews, interview workshops, and socials to get to know our members better. "
Society for the Advancement of Chicanos/Hispanics and Native Americans in Science at Virginia Tech,"SACNAS is an inclusive organization dedicated to fostering
success of Chicanos/Hispanics and Native Americans, from
college students to professionals, in attaining advanced
degrees, careers, and positions of leadership in STEM. "
Society of American Foresters at Virginia Tech,"We are a professional development and networking association for aspiring professionals in natural resources. We are an affiliate of the Blue Ridge Regional and National Society of American Foresters. Volunteering and social events are priorities, as well as inviting speakers and hosting professional development workshops. "
Society of Anthropomorphics,"Hey there! 

We're SOAP, the Society of Anthropomorphics at Virginia Tech, and we were founded in 2001 by a group of peoples interested in the anthropomorphic fandom. 

Our purpose is to provide a safe haven and comfortable social environment for fans of anthropomorphic art and culture, ""Furries"" as they are often colloquially called. But, we also generally have a ""non-furry"" showing at our meetings - I guess that's one of the nice things about college, is that everyone interacts! Everyone is welcome at SOAP as long as they're a friend to the furry fandom in some way, shape, or form! 

For more information about our organization, check out our WikiFur page (a little outdated) and our FA page at /user/hokiefurs "
Society of Asian Scientists and Engineers,SASE is dedicated to the advancement of Asian heritage scientists and engineers in education and employment so that they can achieve their full career potential. 
Society of Automotive Engineers at Virginia Tech,"Our goal as an official Society of Automotive Engineers student chapter is to connect engineers who have an interest in automotive engineering. Virginia Tech is very lucky to have many different automotive teams, but many of them are not connected. We provide a space where engineers with similar interests can come together to talk, learn, and teach about automotive engineering. SAE offers students with unique events such as vehicle events, lectures, and networking with professional SAE engineers. Learn more about us here! "
Society of Hispanic Professional Engineers,Website: https://www.shpevt.org/
Society Of Indian Americans,"SIA is a social network formed by the many volunteers and members. The association works to provide a substantial identity for the Indian Culture at Virginia Tech. Alongside our cultural representation, the society also hosts an annual cultural show, other cultural events, intramurals, socials, and community service gatherings in a mission to make its members feel at home and united."
Society of Physics Students,"Membership in the student chapter of the Society of Physics Students at Virginia Tech is open to all majors and anyone interested in physics. The chapter is actively involved in the community, traveling to schools in the region to help encourage interest in physics via an outreach program. Located in 310 Robeson Hall, the lounge serves as a meeting place and home away from home for members. Meetings are weekly and serve as times for various speakers to give presentations and for the group to discuss upcoming events. The VT SPS chapter is operated by the students, with an elected governing body. Positions include President, Vice President, Secretary, Treasurer, Public Relations, Fundraising, and Representatives for each class."
Society of Plastics Engineers Student Chapter at Virginia Tech,The objective of the Virginia Tech Society of Plastics Engineers Student Chapter is to foster collaboration and promote career advancement among students interested in any field related to plastics/polymers. The curriculum includes but is not limited to:
Society of Professional Journalists at Virginia Tech,"The Society of Professional Journalists at Virginia Tech continually emphasizes quality collegiate journalism and orchestrates educational events that will be beneficial for its members. In addition, we strive to maintain exceptional ethical standards."
Society of Women Engineers at Virginia Tech,"SWE at VT contributes to the campus, the community, and its members through weekly professional development, social and outreach activities. Our purpose is to create a network of women engineers throughout Virginia Tech and throughout industry / academia while demonstrating the value of diversity with STEM. SWE also offers scholarships, career advice and opportunities, networking, mentoring, and professional, social, and service opportunities for its members. We take part in a variety of events, including the following:"
Society of Women in Aviation and Space Exploration,"This organization promotes women of all majors to pursue their passion for aviation and space exploration. To encourage students to interact with the industry, there are panels and speaker events to connect with leaders, as well as workshops to polish off resume and interview skills. Opportunities to get involved in projects and engineering design teams within Virginia Tech are presented. We are open to all majors & genders."
Soil Judging at Virginia Tech,"Soil Judging is used for many agricultural and engineering purposes. By understanding the geography and topography of an area alongside knowledge of soil formation, we can describe, interpret, and classify soils. Comprehension of soil properties can help us manage land and know how to best utilize it. "
SolarCar at Virginia Tech,Who Are We?
Soulstice A Cappella,"Founded in 1998, Soulstice is Virginia Tech's Premiere All-Women A Cappella group. We enjoy performing on the Virginia Tech campus and for the Blacksburg community. We hold two of our very own performances each year, our Fall and Spring concerts. We have been recognized by Voices Only Productions in 2022 and Best of Collegiate A Cappella, BOCA, in 2023. "
South Asian Student Alliance,"SASA encompasses countries such as Nepal, Bangladesh, India, Sri Lanka, and Pakistan. By focusing on this specific region in Asia, we aim to foster a strong and cohesive community at Virginia Tech. Our goal is to highlight the diverse celebrations, customs, and cultures of these countries. Despite their distinct backgrounds, there are numerous shared similarities among these nations. Furthermore, we are dedicated to addressing stereotypes and other cultural issues. SASA provides a safe space for anyone who has encountered adversity as a South Asian. We welcome everyone to join us, and all we ask is to approach with an open mind"
spAAce,"spAAce is a club for anyone on the asexual and/or aromantic spectrums, as well as those who are questioning or allies. We're open to all VT members; undergrads, grads, and faculty. We meet roughly once a week, and past activities include board game night, movie night, stargazing, and our yearly community zine."
Spanish Club at Virginia Tech,Fostering an interest in the Hispanic culture and providing an opportunity to speak Spanish in an informal setting and to learn more about the Hispanic world!
SPAP Sketch Comedy,"The award-winning student organization SPAP Sketch Comedy is all about giving students the tools and opportunity to create and share their humor and art. The entire creation process is 100% student led, from the writers room to the stage."
Speech Language Pathology at Virginia Tech,"This club serves at a networking support system across all students who are interested in becoming a speech language pathologist. We research, reach out, connect, and grow towards our goals while helping one and other do the same. As a club, we have volunteered at The Virginia Special Olympics, toured graduate programs, talked to current SLP graduate students, and more!"
SPIA Student Society,"The School of Public and International Affairs (SPIA) at Virginia Tech is dedicated to solving issues at the local, national, and global levels through dedicated persistence, an insightful view on a range of matters, and a deep understanding of world issues. The SPIA Student Society brings together these ethics and the Virginia Tech motto, Ut Prosim, to serve like-minded students and the community. The mission of the society is to create a space for students to experience the wide reach of SPIA in their daily lives. The SPIA Student Society serves as a resource to undergraduate students as a space to communicate about job opportunities, promote new programs and groups, find and participate in internships, and create networks that last beyond their college experience. Additionally, members participate in community outreach initiatives where they join public forums and government-lead functions to learn more about the application of the material learned in the classroom. The SPIA Student Society strives to create a space for students with similar interests and drive to come together with a community of their peers."
Sri Lankan Student Association,Sri Lankan Student Association is a common platform for current and prospective Sri Lankan students and the key organization representing Sri Lankans at Virginia Tech. SLSA will participate international events representing Sri Lanka to share our unique and diverse culture with the global community.
Statistics Club,"The Statistics Club at Virginia Tech is an on-campus student organization committed to fostering a community for students passionate about statistics and data science. Our club provides a collaborative environment where students from various disciplines can explore the exciting world of statistical analysis, data visualization, and quantitative research. Through a combination of engaging activities, educational workshops, guest speakers, hands-on projects and fun community nights, we hope to enhance our members' technical skills and sense of belonging—after all, THIS IS HOME."
Strategic Intelligence Organization at Virginia Tech,"The Strategic Intelligence Organization is dedicated to providing students the ability to gain real life skills relevant for jobs in the Intelligence Community. This group acts as a resource to members providing a way to learn skills, network with professionals, and gain professional experience. "
Streetdreams at Virginia Tech,The Streetdreams (Creative Photography) Club is a group for photography enthusiasts all over campus to come together no matter what your skill level or type of equipment.
Student Affairs,Student Affairs at Virginia Tech encompasses a variety of departments dedicated to providing a rich co-curricular experience and essential student services. Virtually every aspect of a student's life outside the classroom is represented through the work of Student Affairs.
Student African American Sisterhood at Virginia Tech,"SAAS is an organization at Virginia Tech that seeks to enhance the academic success and unification of Black and Brown women across the nation regardless of age, graduation year, sorority affiliation, or background. SAAS strives to enrich the educational experience of females through unity, academic excellence, service, and support. We strive to give the Black and Brown women of Virginia Tech a place they can come together with other girls like themselves and talk about their experiences in a welcoming environment, along with hosting fun events that encourage sister like bond."
Student Alumni Associates of the Virginia Tech Alumni Association,"In the spirit of the University motto, Ut Prosim (That I May Serve), the Student Alumni Associates of Virginia Tech (SAA) serve as ambassadors to the Alumni community. As an official affiliate of the Virginia Tech Alumni Association, SAA received its charter in 1974 to assist with various programs and initiatives centered around developing a foundation of connected alumni. SAA supports the programs of the Virginia Tech Division of Advancement and Alumni Relations, while embodying the organization's four pillars (Spirit, Tradition, Leadership, and Service) through action and word. SAA produces and implements programming to increase student education and awareness of the programs and services of the Alumni Association, in order to bridge the gap between Virginia Tech students and alumni. As a part of this mission, SAA also facilitates the promotion of spirit and tradition among the student body through activities such as the Hokie Bucket List."
Student Chapter of the American Association of Equine Practitioners,"The Student Chapter of American Association of Equine Practitioners (AAEP) at the Virginia-Maryland College of Veterinary Medicine (VMCVM) is a student organization with the goal of furthering knowledge in equine veterinary medicine. The organization hosts monthly meetings, lectures, wet labs, and weekly rounds discussions in the Veterinary Teaching Hospital (VTH). This organization is open to students at VMCVM."
Student Chapter of the American College of Veterinary Internal Medicine,"This club enhances the education of veterinary students through discussions, guest speakers, and laboratory activities involving veterinary internal medicine.  "
Student Chapter of the American College of Veterinary Pathologists,Goals of the Student Chapter of the American College of Veterinary Pathologists (SCACVP)
Student Chapter of the National Association for Black Veterinarians,This organization is open to everyone! We encourage all in the veterinary field (or pursuing the veterinary field) to show up and help create an inclusive and diverse environment.
Student Chapter of the Veterinary Emergency and Critical Care Society,"Student Chapter of the Veterinary Emergency and Critical Care Society (SCVECCS) goals are to supplement the curriculum with educational opportunities specific to the field of emergency and critical care. We also strive to inform students of internship, externship, residencies, and other post-graduation opportunities in this field. At the school, we aim to have 1-2 events per month whether it be talks, activities, or wet labs. "
Student Communication Advisory Board,"The Student Communication Advisory Board [SCAB] was established by Student Affairs so that we could hear from you, our students, about how you would like to hear from us. Through this group, we bring topics that affect you, to get your thoughts how to best communicate them to students."
Student Engagement and Campus Life,"Student Engagement and Campus Life, a unit within the Division of Student Affairs at Virginia Tech, complements the academic program by providing a variety of activities, educational opportunities, programs, facilities, and services that enhance student development and enrich the quality of campus life at Virginia Tech."
Student Life Council,"The Student Life Council at Virginia Tech serves as an advisory group for Student Affairs. The Student Life Council (SLC) is led by a student chair and consists of a diverse committee of up to 20 students. The SLC meets monthly to discuss relevant student issues, provide input on emerging projects important to campus life, and offer counsel related to policy, practice, and the aspirations for student learning. In addition, since Student Affairs co-chairs the Virginia Tech/Town of Blacksburg “Town-Gown” committee with the Blacksburg Deputy Town Manager, SLC members participate in monthly Town-Gown Meetings as part of their membership on the SLC.

In consultation with the student chair, the Dean of Students appoints council members for an academic year (May to May). The Council meets once monthly; on selected Thursday afternoons from 5:00-7:30 pm for dinner and discussion from 5:00 - 6:30 pm  prior to attending a monthly Town-Gown meeting from 6:30-7:30. Since the primary purpose of the Student Life Council is advisory, there is minimal time commitment beyond the required meetings described above. Council members, however, will be frequently informed of optional activities where student input is needed.

Students interested in serving on the 2024-2025 Student Life Council should submit an application via GobblerConnect. Applications will be open from 8 am on Monday, April 8 to 11:59 PM on Wednesday, April 17"
Student Nutrition and Dietetics Association,"We volunteer our expertise to help in a wide variety of campus and community outreach opportunities.  Members participate in nutrition booths that have been previously held on several different ""on campus"" sites. Aside from volunteer opportunities around campus and in the community, members enjoy getting together for potlucks and other social activities!  We like to keep things fun for everyone involved! We are a fun food-loving group of people and are always open to new ideas for our club to excel and grow beyond the success we have already had!"
Student Outreach Program at Virginia Tech Carilion,"This organization was started by VT grad and med students in Roanoke that are passionate about science outreach and advocacy. Our goal is to get engaged with our local community by exposing science that is happening at VT and also to provide professional development opportunities to benefit students. Over the past several years, we have organized and hosted several events such as science talks at local coffee shops, science booths at local schools, STEM Q&A sessions at local community colleges, and starting a science-based podcast ""Big Lick of Science""."
Students for Cultivating Change,"A community elevating members of the LGBTQ+ community and allies in agriculture, life sciences, natural resources, and beyond. We focus on advocacy, education, professional development and supporting each other in community. "
Students for Justice in Palestine,"Students for Peace and Justice in Palestine (SPJP) is a diverse group of students and community members organized on democratic principles to promote justice, human rights, liberation, and self-determination for the Palestinian people."
Students for Life at Virginia Tech,"Our organization is the Virginia Tech chapter of Students for Life national. We focus and strive to support women before, during, and after pregnancy and advocate for a culture where human life is valued and accepted from the very beginning in the womb. We want the best for women and their children, no matter their circumstances. "
Students For Racial Justice,"Mission: We strive to educate ourselves on racial inequalities, systems of oppression and the forgotten history of people of color; to reflect on our own biases, positions in society and personal experiences surrounding race; and to take actions that always center people of color and the needs and wants of the affected community we are taking action for. We welcome students from all backgrounds to join in the pursuit of racial justice on Virginia Tech’s campus and across the globe."
Students for Sensible Drug Policy,"We are the only international network of students dedicated to ending the war on drugs.  At heart, SSDP is a grassroots organization, led by a student-run board of directors. We create change by bringing young people together and creating safe spaces for students of all political and ideological stripes to have honest conversations about drugs and drug policy. Founded in 1998, SSDP comprises thousands of members at hundreds of campuses in countries around the globe.  SSDP mobilizes and empowers young people to participate in the political process, pushing for sensible policies to achieve a safer and more just future, while fighting back against counterproductive Drug War policies, particularly those that directly harm students and youth."
Students for Sustainable Practice,Students for Sustainable Practice
Students for the Labor Movement,"We provide educational opportunities for students who are interested in learning about national and local unions and the labor movement. The past few years have seen historic labor disputes, rising union membership, and increased public support. In light of this nationwide trend, we aspire to build a community that gives students the autonomy to explore and decide for themselves the roles labor unions play in everyday life and in institutions like academia, industry, and government."
Students Helping Honduras,Our mission is to alleviate violence and extreme poverty in Honduras through education and youth empowerment. Our goal is to build 1000 schools all across Honduras.
Students of Hip Hop Legacy,Mission Statement:
Studio 72: Living the Arts,"The artist’s most creative work is made where they can explore their art freely. At Studio 72, our philosophy is that time and space to create art is the key to tapping into that creativity. Here students come to understand the arts as essential to the human experience through exclusive access to studio space in the residence hall, arts workshops with faculty, and visiting artists on campus. This interdisciplinary, multigenerational community has a strong academic commitment to learning through the shared experience of art making in a variety of disciplines and mediums. Whether it’s performance arts, visual art, digital art, or somewhere in between, Studio 72 is a living-learning community where curiosity, innovation, imagination, and creating art are a way of life."
Sudanese Student Organization at Virginia Tech,The Sudanese Student Organization (SSO) hosts a variety of events that are tailored to educating those that may not be aware of certain aspects of the Sudanese culture. The events range from social gatherings to informative meetings regarding Sudanese history and culture. The organization also focuses on gathering the Sudani-American community at Virginia Tech through these events in order to build a greater connection through our cultural similarities.
Suicide Awareness and Friendly Environment,"Goals for SAFE Club includes raising awareness for suicide prevention and creating an environment that encourages positivity and growth. As a part of the SAFE Club, you will be educated on the warnings of suicide from informative videos. You will also participate in a suicide prevention training which discusses myths and warning signs. We will participate in a number of activities including the “Out Of The Darkness Walk” hosted by the American Foundation of Suicide Prevention to raise money for suicide prevention. Overall, it will be a very healthy and positive environment."
Sunset Chasers at Virginia Tech,"Sunset Chasers offers a relaxed environment where we can take a break from our busy lives and enjoy the beauty and wonder of Blacksburg’s famous sunsets with our peers. Our weekly walks take us through trails around campus, and we will also take monthly day trips to explore the surrounding areas ending at sunset, of course! We walk at our own pace and everyone is welcome. Come out and join us as the sun sets every weekend and create new memories with other Hokies!"
Super Smash Bros Club,"We are a small group of gamers dedicated to building and raising the skill level of the local community around the popular Nintendo fighting video game series: Super Smash Brothers. Our community primarily plays Ultimate, Melee, and Rivals of Aether, but don't be afraid to bring other games in the series, or even other platform fighters! We host weekly tournaments as well as various casual community events that everyone can enjoy. Come join our Discord server if you’re interested and meet some of the members of our community! The Discord server is also where we actively post about meetings and information the most."
Surgery Club VA-MD CVM,"Surgery Club encourages students to gain hands-on experience outside of the classroom with routine surgical skills needed for everyday success in veterinary medicine. These activities include meetings from well-respected surgeons and surgical residents on clinical cases and new cutting-edge technology. The wet labs and monthly suture clinics that are offered allow students to practice intricate surgical procedure and techniques. This will build student's knowledge and dexterity, empowering students to leave school as new veterinarians with confidence."
Survivor at Virginia Tech,"Whether you have been watching since season one or are a new fan, Survivor at Virginia Tech welcomes you! This club is an outlet for students, faculty and staff to share their love for the TV show Survivor. We will have “watch parties”, replicas of past Survivor challenges, and season/player rankings. Although Survivor doesn’t air every week, this club will gather to brainstorm ways Survivor at Virginia Tech can expand beyond the Blacksburg community!"
Sustainable @ VT,Sustainable at Virginia Tech creates a monthly newsletter updating students on environmental events on campus. This club meets on Thursdays from 5-6!
Sustainable Cruising Club,Sustainable Cruising Club made for Personal Electric Vehicles (PEV). 
Sustainable Dining at Virginia Tech,"Sustainable Dining at Virginia Tech offers opportunities for students and community members to participate in growing food, brainstorming new ways to enhance sustainable dining initiatives at VT and to interact with your food system."
Sustainable Land Development Club,"Our organization was founded as the student body for the Land Development Design Initiative. Most of the current students involved are Civil Engineering Students that focus their studies on Land Development, however we are inclusive and are welcoming any interested students from related fields. We offer a platform for students to test their technical skills outside of class, to network with professionals, as well as to expand their understanding of current events and technologies that help us bridge the gap between the natural world and land development projects."
SWAP,"SWAP is a community-focused organization dedicated to unlocking value through authentic relationships and fostering continuous personal and professional improvement. Through learning events, shared experiences, and small group discussions, we aim to curate and deepen mutually beneficial connections as part of an organization committed to betterment, development, and community growth."
Swara,We are a co-ed South Asian (Desi) fusion singing team that aims to promote diversity within the Virginia Tech community by arranging fusions of different South Asian/Indian languages and cultures. We will start doing competitive A capella starting Fall 2024.
Swim Club at Virginia Tech,"We are the Swim Club at Virginia Tech, a place for students to continue the sport they love at the collegiate level."
Synapse at Virginia Tech,"Synapse's mission is to connect individuals with brain injury to community resources within the New River Valley Community. These include the Support Group, Glial Program, partnerships with Carilion Inpatient Rehabilitation and NeuroRestorative that allow us to connect with community members while educating the public about brain injuries. "
Synergy: Interfaith Collective at Virginia Tech,"The purpose of the organization is to (1) create meaningful connections and appreciative knowledge across diverse religious/ non- religious, spiritual, and secular worldviews and inspire collective action for the common interest and (2) foster connections across various worldviews and cultures on campus and in the Blacksburg community."
Tae Kwon Do Club at Virginia Tech,Welcome to the Tae Kwon Do Club at Virginia Tech!
Tap Ensemble at Virginia Tech,"Tap Ensemble at Virginia Tech is a group of students who are passionate about growing their skills and artistry in tap dancing. Tap ensemble is an open, accepting environment for everyone in the community who wants to tap dance. We spread our love for tap by self choreographing and performing for the Virginia Tech community."
Tau Beta Sigma National Honorary Band Service Sorority Zeta Omicron Chapter,"We are the Zeta Omicron Chapter of Tau Beta Sigma - National Honorary Band Service Sorority. We provide exceptional service to collegiate bands and promote equality and diversity, including empowering women in the band profession. We cultivate leadership, educational achievement, music appreciation and community development."
Tau Kappa Epsilon,"                On January 10, 1899,Charles Roy Atkinson, Clarence A. Mayer, James C. McNutt, Joseph L. Settles, and Owen I. Truitt met at 504 East Locust Street in Bloomington, Illinois and drew up the first constitution for a new fraternity at Illinois Wesleyan University. The purpose of the new organization was to be an ""aid to college men in mental, moral and social development."" The founders sought to be a different organization than the other fraternities at the time by establishing a fraternity where membership would be based on personal worth and character rather than wealth, rank, or honor."
Tau Sigma National Honor Society at Virginia Tech,"Our mission is to recognize and promote the academic excellence and involvement of transfers students. Tau Sigma provides its members opportunities to earn scholarships, take leadership positions, and serve others in the community, all while developing friendships and becoming a more integral part of Virginia Tech!"
Teach 4 Jamie at Virginia Tech,"Teach 4 Jamie is an after-school German language and culture program for elementary school students. The program operates under the leadership of Virginia Tech German students, who volunteer in memory of Jamie Bishop, former instructor of German at Virginia Tech. We hope to share his passion for German language and culture with children who otherwise would not have access to a language program at such an early age. The program has students from grades K-5 and meets once a week after school at local elementary schools around Blacksburg like Gilbert Linkous Elementary, Kipps Elementary, Prices Fork Elementary, and Harding Elementary."
Teaching Robotics and Engineering,"Do you want to build ROBOTS? Do you want to LEARN how to program? Do you like to BUILD in general but have limited experience with Computer Science / ECE / Mechanical Engineering? If you answered yes to one or more of these questions - then TRE is the perfect club for you! We seek to give students the skills they need to be successful in completing their projects, and even make a career change if they wish to do so. We encourage ALL majors to join us as we will teach you skills without all the homework and suffering of taking an engineering class.  Throughout the year we will teach sessions on various topics from programming a simple microcontroller to building applicable Arduino systems. The goal is that the members of the club will gain skills across a variety of disciplines and be able to use their skills in school, work, or for fun. This is a club run for its members - if you would like to learn a specific skill, come to a meeting and ask us! We will incorporate this in the syllabus for you."
Team Tennis League at Virginia Tech,"This league plays in a team tennis format similar to high school tennis, consisting of singles and doubles matches. We welcome all tennis players at any skill level.  This league is designed to be low-commitment while maintaining a competitive atmosphere.  It also allows students to meet many new people with an interest in tennis. Contact Kevin Lee (kevinL22@vt.edu) if you are interested or have any questions! Join the groupme to get further updates."
Tech Men at Virginia Tech,"An all men's choral and a cappella club at Virginia Tech, members of Tech Men possess a knowledge of a wide range of vocal and a cappella music, ranging from Faure's Requiem to Virginia Tech's own Tech Triumph. Seeking to spread and ignite an interest in music and singing, Tech Men perform locally at Virginia Tech and surrounding areas."
TechHackers at Virginia Tech,"TechHackers is the organization team for VTHacks, Virginia Tech's annual hackathon, which is an event where students get together and try to design a project in 24-36 hours."
TechNotes A Cappella,"Founded in 2010, TechNotes is a mixed a cappella group that performs at various events throughout the year. These events might be volunteer events or social events throughout campus and the Blacksburg area. Some semesters, TechNotes gets the honor and privilege of competing in various competitions with A Cappella communities at other schools and TechNotes even has music on Spotify! The main event is the TechNotes concert at the end of the year that draws in hundreds of audience members to hear their set list of songs arranged and sung by members of our group. If you are looking for the perfect combination of music and family, this is the group for you."
Thai Student Association,Who We Are
Thank-a-Teacher Program,Do you know a teacher at Virginia Tech who:
The Bacteriophage Club,"We meet once per month to discuss science, play phage themed games, talk about phage in the news, and read journal articles focused on phages and other microbiology topics. If you are interested in joining a fun low-stress club then this is the club for you! Get ready to learn more about microbes and viruses or simply crash our science themed socials! We also offer potential officer positions to help our members develop leadership skills. There are no fees to be in the club and we accept new members at any time."
The Bass Fishing Team at Virginia Tech,"The Bass Fishing Team at Virginia Tech provides its members with the opportunity to compete across the country at intercollegiate events, polishing their skills and giving them opportunities otherwise  unavailable to them. We participate in fishing expos in order to promote our team and sponsors. We also fish and host socials together in order to build relationships within the team and create a sense of camaraderie.  "
The Big Event at Virginia Tech,"The Big Event at Virginia Tech is a student-run day of service that has grown into the 2nd largest event of its kind in the nation. Every spring, thousands of students, faculty, and staff come together to complete over 1,000 community service projects throughout Blacksburg, Christiansburg and the New River Valley."
The Bigfoot Club at Virginia Tech,"Our organization will meet twice a month. Most of our hikes are in the afternoons, so be prepared to dress warm, bring a flashlight, wear hiking boots! If you're interested in the club, please join our discord server! https://discord.gg/AMXvcxjUB4"
The Bird Club at Virginia Tech,"The Bird Club at Virginia Tech is a student organization that aims to educate students on the identification and life history of birds. Our Bird Club hosts weekly field trips to birding hotspots around Blacksburg and its surrounding areas and bi-monthly meetings that help educate students on birding, ornithology, and other related topics."
The Bowling Club at Virginia Tech,"We invite Virginia Tech students to participate in a competitive or leisure bowling experience of their choice. We offer lessons if you would like to learn how to bowl. If you just want to come out and have fun, we welcome you as well! We have weekly practices Tuesday and Thursday nights at NRV Superbowl in Christiansburg."
The Business Information Technology Club at Virginia Tech,"As part of our mission to increase knowledge of technology-oriented business majors, we host several career information sessions and workshops each semester. BIT Club also hosts many internal socials and gatherings throughout the year, fully embracing a half-professional and half-social organization. Members are able to refine their professional development skills, and also get to know the greater BIT and Pamplin community. We are the premier student organization at Virginia Tech for business majors and anyone interested in the technological field, and we welcome you to come to our events and find out what we’re all about! Even though we are the BIT Club at Virginia Tech, we are not limited to just BIT majors, in fact, anyone interested in this realm and wants to attend our workshops and get one-on-one contact with recruiters from companies like the Big 4 is welcome to join!"
The Comedy Conglomerate at Virginia Tech,"We are an organization dedicated to creating a comedic environment on campus. We have a focus on stand up comedy and orchestrating stand up comedy events, but we are consistently look to expand our venues as we expand our members' capabilities. Our members are active and contribute something to each meeting, performance, and the feedback process. We plan to continue our stand up efforts as well as explore other forms of comedy like: Comedy music, YouTube sketches, and cartoons."
The Consulting Group at Virginia Tech,"The Consulting Group at Virginia Tech bridges the gap between Virginia Tech students and consulting firms from around the world. As an industry-oriented organization, we help the student body at Virginia Tech learn more about a career in consulting by providing hands-on experience. Members work with businesses around the Blacksburg area, and across the nation, on projects to develop business and strategy solutions while advancing their knowledge and honing their skills on real consulting issues. In preparation for projects, analysts participate in a one-semester training program that will allow them to succeed as competitive candidates for entry-level consulting jobs."
The Contemporary Dance Ensemble,"The Contemporary Dance Ensemble at Virginia Tech provides a place for dancers to continue to grow in their passion for dance and share their talents with the community. But most importantly, CDE provides dancers with a place to call home on campus. CDE offers two performances a year and weekly technique classes so we can continue to improve. Our performances are choreographed and performed by members of CDE so we can share not only our talents, but our artistic visions as well. In addition, we offer leadership opportunities within our organization since we are student-run, so we can continue our love for an art form while getting experience on how to effectively and successfully run an organization. Come join our family!"
The CryptoCurrency Club @ Virginia Tech,The CryptoCurrency Club @ Virginia Tech is a growing community of cryptocurrency-enthusiasts. We come together weekly to discuss various cryptocurrency topics.  
The Diggeridoos at Virginia Tech,"We are the Diggeridoos, a design team competing in the Not-a-Boring Competition hosted by Elon Musk's The Boring Company. Our goal is to build a machine capable of digging a 100ft long, 2ft diameter tunnel. We compete against student teams from around the world in Bastrop, TX every year. "
The Discomfort Club,"Hey, welcome to the DCC! "
The Fighting Game Community at Virginia Tech,"A community dedicated to playing, teaching, and competing in Fighting Games like Ultimate Marvel vs Capcom 3, Guilty Gear Strive, Tekken 8, Dragon Ball FighterZ, and Street Fighter 6. Welcoming to both casual and competitive, new and experienced players. 

We hold weekly meetings in New Classroom Building. The meetings alternate between double elimination brackets in two rotating games and casuals (meetings to play friendly, practice matches). We are friends with Smash Club but don't actively play Smash. If you are looking for Smash games look for the Smash Club at VT. 

If you are interested swing by a meeting and introduce yourself. If you are new to Fighting Games don't be scared, we have plenty of people willing to help you learn and improve. "
The Forestry Club at Virginia Tech,"The Forestry Club at Virginia Tech is a student run club in the College of Natural Resources and Environment. Our main purpose is to compete in timbersports competitions, provide services to the local community, and participate in the fellowship of forestry. The services we provide to the community mostly come in the form of cutting and selling firewood, which also helps to fund the club. We are open to all majors, and there is a short joining process that consists of participating in work days."
The Highty-Tighties,"Founded in 1892, the Highty Tighties are the Regimental Band of the Virginia Tech Corps of Cadets.  Consisting of all cadet members, and led by MUCS James Bean, the band plays at all home football games along with Corps functions, pep rallies and parades across the United States."
